Timestamp	Oletko palkansaaja vai laskuttaja?	Ikä	Sukupuoli	Työkokemus	Montako vuotta olet tehnyt laskuttavaa työtä alalla?	Mitä palveluja tarjoat?	Tuntilaskutus (ALV 0%, euroina)	Vuosilaskutus (ALV 0%, euroina)	Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?	Mistä asiakkaat ovat?	Työpaikka	Missä kaupungissa työpaikkasi pääasiallinen toimisto sijaitsee?	Millaisessa yrityksessä työskentelet	Työaika (jos työsuhteessa)	Rooli	Etänä vai lähityössä?	Kuukausipalkka (brutto, euroina)	Vuositulot (sis. bonukset, osingot yms, euroina)	Vapaa kuvaus kokonaiskompensaatiomallista	Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?	Vapaa sana	Ideoita ensi vuoden kyselyyn
26/09/2022 21:40:16	Palkansaaja	31-35 v	Mies	11							Exove	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Senior Developer	Pääosin tai kokonaan etätyö	4300	53750		Kyllä		
26/09/2022 21:47:33	Palkansaaja	31-35 v	Mies	9							Mirantis	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Full-stack	Pääosin tai kokonaan etätyö	8800	110000	Optio-ohjelma	Kyllä		
26/09/2022 21:47:53	Palkansaaja	26-30 v	Mies	3								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Full-stack	Pääosin tai kokonaan etätyö	4500	56250		Ei		
26/09/2022 21:49:18	Palkansaaja	36-40 v	Mies	13								Tampere	Tuotetalossa, jonka core-bisnes on softa	100%	Ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	4835	62500		Kyllä		
26/09/2022 21:59:19	Laskuttaja	41-45 v	mies	15	1	full stack devaus	85	140000	Käytän välitysfirmoja	Suomesta												
26/09/2022 22:34:58	Palkansaaja	21-25 v	Mies	2								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Full-stack	Pääosin tai kokonaan etätyö	3200	38000		Ei		
26/09/2022 22:56:53	Palkansaaja	41-45 v	Mies	15								Tampere	Konsulttitalossa	100%	Ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	7500	94000		Kyllä		
26/09/2022 23:11:18	Palkansaaja	46-50 v		22								Tampere	Konsulttitalossa	100%	Arkkitehti	Jotain siltä väliltä	6550	95000		Ei		
26/09/2022 23:20:36	Palkansaaja	31-35 v	Mies	5								Turku	Konsulttitalossa	100%	Senior developer, full-stack	Pääosin tai kokonaan etätyö	7300	91000		Kyllä		
26/09/2022 23:43:37	Palkansaaja	26-30 v	Mies	10								Tampere	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Arkkitehti	Jotain siltä väliltä	5700	80000		Kyllä		
27/09/2022 00:02:14	Palkansaaja	26-30 v	Mies	5								Turku	Tuotetalossa, jonka core-bisnes on softa	100%	Full-stack	Pääosin tai kokonaan etätyö	4800	62500	N. 90/10 palkka ja bonukset. Optioilla voi todennäköisesti pyyhkiä nenää lähitulevaisuudessa.	Kyllä		
27/09/2022 02:52:59	Laskuttaja	31-35 v	Mies	14	1	Lead dev		166000	Itse	Suomesta												
27/09/2022 05:16:21	Palkansaaja	21-25 v	Mies	1								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	40%	full-stack	Pääosin tai kokonaan toimistolla	1080	18000		Ei		
27/09/2022 05:33:45	Palkansaaja	31-35 v	Mies	8							F-Secure	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Lead developer	Pääosin tai kokonaan etätyö	6100	77200		Ei		
27/09/2022 05:50:13	Palkansaaja	36-40 v	Mies	16								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Arkkitehti	Pääosin tai kokonaan etätyö	7000	87500	Optiot	Kyllä		
27/09/2022 05:50:31	Palkansaaja	46-50 v	Mies	23								Tampere	Konsulttitalossa	100%	Arkkitehti	Jotain siltä väliltä	5500	68750		Kyllä		
27/09/2022 06:12:10	Palkansaaja	31-35 v	Mies	3								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Full-stack	Jotain siltä väliltä	3900	48750		Kyllä		
27/09/2022 06:29:06	Laskuttaja	36-40 v	Mies	10	2	Full stack, mobiili, embedded,	72	110000	Käytän välitysfirmoja	Suomesta												
27/09/2022 06:37:44	Palkansaaja	26-30 v	Mies	7								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	DevOps	Pääosin tai kokonaan etätyö	7838	97975	50% laskutuksesta provikkana + henkilöstörahasto	Kyllä		
27/09/2022 06:37:45	Laskuttaja	31-35 v	Mies	6	0.5	Backendiä ja devopsia tällähetkellä	85		Käytän välitysfirmoja	Suomesta												
27/09/2022 06:39:25	Palkansaaja	26-30 v	Mies	1								Seinäjoki	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Full-stack	Pääosin tai kokonaan toimistolla	3200	38400		Ei		
27/09/2022 06:51:26	Palkansaaja	36-40 v	mies	15								Oulu	Konsulttitalossa	100%	Arkkitehti	Jotain siltä väliltä	5550	69375	Mahdollisuus valita kiinteän kk palkan tai provision väliltä. Provisio tapauksessa palkka on noin 500 EUR pienempi ja provision vaikutus 0-900 EUR sen mukaan kuinka paljon on 80% laskutusasteen ylittäviä laskutettavia tunteja.	Ei		
27/09/2022 06:52:02	Palkansaaja	31-35 v	Mies	10								Turku	Tuotetalossa, jonka core-bisnes on softa	100%	full-stack	Pääosin tai kokonaan toimistolla	5750	71800		Kyllä		
27/09/2022 06:52:22	Palkansaaja	31-35 v	Mies	7							Reaktor	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Full-stack	Pääosin tai kokonaan toimistolla	5700	75000		Kyllä		
27/09/2022 06:52:45	Palkansaaja	31-35 v	Mies	6								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Mobiilikehittäjä	Pääosin tai kokonaan etätyö	4900	61250	Palkka	Ei		
27/09/2022 07:10:42	Palkansaaja	26-30 v		7								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Ohjelmistokehittäjä	Jotain siltä väliltä	4200	55000		Kyllä		
27/09/2022 07:19:24	Palkansaaja	41-45 v	mies	20								Tampere	Tuotetalossa, jonka core-bisnes on softa	100%	arkkitehti	Pääosin tai kokonaan toimistolla	5800			Kyllä		
27/09/2022 07:19:42	Palkansaaja	26-30 v	Mies	1								Turku	Konsulttitalossa	100%	Ohjelmistokehittäjä	Jotain siltä väliltä	2550	31875		Kyllä		
27/09/2022 07:26:08	Palkansaaja	36-40 v	mies	4								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	full-stack	Pääosin tai kokonaan etätyö	4400	55000		Kyllä		
27/09/2022 07:27:53	Palkansaaja	36-40 v	Mies	15								Devaajat ympäri suomea, tasaisesti JKL-HKI	Tuotetalossa, jonka core-bisnes on softa	100%	Senior/Lead developer	Pääosin tai kokonaan etätyö	5300	66250	+ optiot	Kyllä		
27/09/2022 07:28:13	Palkansaaja	41-45 v	Mies 	18								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Lead developer	Jotain siltä väliltä	6800	87000		Kyllä		
27/09/2022 07:32:46	Palkansaaja	41-45 v	mies	19								Jyväskylä	Konsulttitalossa	80%	senior software developer	Pääosin tai kokonaan toimistolla	4440	55500		Kyllä		
27/09/2022 07:37:26	Palkansaaja	26-30 v	Mies	2								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Data Engineer	Pääosin tai kokonaan toimistolla	4500	56250	Palkka (jonka tulisi olla about markkinantasoista) plus 50% tietyn rajan yli menevästä tuloksesta jaetaan tasan työntekijöille kyseisen vuoden työskentelykuukausien perusteella. En ole vielä ollut talossa niin kauaa että olisin saanut ensimmäistä bonusta, joten ilmoittamani palkat ovat nyt peruspalkkoja.	Kyllä		
27/09/2022 07:41:10	Palkansaaja	51-55 v	mies	25								Turku	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	ohjelmistokehittäjä ja arkkitehti	Jotain siltä väliltä	5000	62500		Kyllä		
27/09/2022 07:41:17	Palkansaaja	31-35 v	Mies	10							Compile Oy	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	7500	99150	Provisio 45% + asiakastyytyväisyysbonus väliltä 0-500 € per kk	Kyllä		
27/09/2022 07:44:41	Palkansaaja	36-40 v	mies	12								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	6100	93000		Kyllä		
27/09/2022 07:49:50	Palkansaaja	26-30 v	äijjjä	10							Fraktio	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	DevOps Engineer	Pääosin tai kokonaan etätyö	4700	58750	rahaa ja lämmintä kättä	Ei		
27/09/2022 07:56:29	Palkansaaja	31-35 v	Mies	8									Tuotetalossa, jonka core-bisnes on softa	100%	Senior Site Reliability Engineer	Pääosin tai kokonaan etätyö	8000	100000		Kyllä		
27/09/2022 07:56:52	Palkansaaja	36-40 v	Mies	10								Tampere	Konsulttitalossa	100%	Sekatyömies (projari, arkkitehti, full-stack, firman strategi)	Pääosin tai kokonaan etätyö	5000	64000		Ei		
27/09/2022 07:58:53	Palkansaaja	26-30 v	Mies	2								Jyväskylä	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	40%		Jotain siltä väliltä	1200	500		Kyllä		
27/09/2022 08:01:28	Palkansaaja	26-30 v	Mies	4								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Data Scientist	Pääosin tai kokonaan etätyö	4100	51250		Ei		
27/09/2022 08:02:21	Palkansaaja	26-30 v	Mies	5								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Backend/Data Engineer	Pääosin tai kokonaan etätyö	5800	72500	Optioita 4 vuoden vestauksella	Kyllä		Firman kokoa voisi kysyä. Starttien kompensaatiomallit eroaa huomattavasti megakorpoista.
27/09/2022 08:04:53	Palkansaaja	36-40 v	Mies	16								Turku	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Ohjelmistokehittäjä (backend)	Pääosin tai kokonaan etätyö	4200	56700		Kyllä		
27/09/2022 08:09:38	Palkansaaja	36-40 v	Mies	10							Zevoy Oy	Tampere	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Senior Backend Developer	Pääosin tai kokonaan etätyö	7070	88375	Osakkeet	Kyllä		
27/09/2022 08:12:33	Palkansaaja	31-35 v	Mies	7								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Frontend	Pääosin tai kokonaan etätyö	6000	80000		Kyllä		
27/09/2022 08:14:16	Palkansaaja	26-30 v		11							Mavericks	Turku	Konsulttitalossa	100%	full-stack/frontend	Pääosin tai kokonaan etätyö	7300	91250		Kyllä		
27/09/2022 08:16:19	Palkansaaja	36-40 v	Mies	12							Siili One	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Asiantuntija käyttöliittymä suunnittelussa sekä frontti kehityksessä	Pääosin tai kokonaan etätyö	7300			Kyllä	Kiitos kun teette avointa palkkakyselyä	Tuntilaskutus summaa
27/09/2022 08:17:19	Palkansaaja	41-45 v	Mies	22								Tampere	Konsulttitalossa	100%	Ohjelmistoarkkitehti	Pääosin tai kokonaan etätyö	5200	65000		Kyllä		
27/09/2022 08:17:32	Palkansaaja	26-30 v	Mies	2							Knowit Solutions	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	QA	Jotain siltä väliltä	4000	48000		Kyllä		
27/09/2022 08:18:47	Palkansaaja	31-35 v	Mies	11								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	full-stack developer	Jotain siltä väliltä	5500	68750	osakkeita	Kyllä		
27/09/2022 08:22:16	Palkansaaja	41-45 v	Äijä	20								Tampere	Tuotetalossa, jonka core-bisnes on softa	100%	full-stack	Pääosin tai kokonaan toimistolla	5200	62000		Kyllä		
27/09/2022 08:23:55	Palkansaaja	31-35 v	mies	12								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Data Developer	Jotain siltä väliltä	5400	70000	kiinteä kk-palkka + max. 10% bonus	Ei		
27/09/2022 08:28:03	Palkansaaja	41-45 v	nainen	6							Siili	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	full-stack devaaja	Jotain siltä väliltä	4397	49400		Kyllä		
27/09/2022 08:28:49	Palkansaaja	36-40 v	Mies	12							Siili Solutions	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	ohjelmistokehittäjä (full-stack)	Pääosin tai kokonaan toimistolla	4500	4800	0-400€ kuukausipalkasta osakkeita ja saman verran optioita, kerrytetään 6kk ja ostetaan markkinahintaan	Kyllä		
27/09/2022 08:30:28	Palkansaaja	31-35 v	Mies	8								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	SRE	Jotain siltä väliltä	5500	68750	Optioita tulee edellisen rahoituskierroksen valuaation pohjalta n. 4000e/kk	Ei		
27/09/2022 08:37:22	Palkansaaja	31-35 v	nainen	7								Tampere	Konsulttitalossa	100%	Projektipäällikkö	Pääosin tai kokonaan etätyö	4500	55000		Kyllä		
27/09/2022 08:38:22	Palkansaaja	26-30 v	Mies	5								Jyväskylä	Tuotetalossa, jonka core-bisnes on softa	80%	Ohjelmistokehittäjä (mobile, web)	Pääosin tai kokonaan toimistolla	4320	54000		Kyllä		
27/09/2022 08:38:58	Palkansaaja	36-40 v	Mies	13								Tampere	Tuotetalossa, jonka core-bisnes on softa	100%	frontend	Pääosin tai kokonaan etätyö	5600	67200		Kyllä		
27/09/2022 08:51:48	Palkansaaja	26-30 v	Mies	3								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Full stack engineer 	Pääosin tai kokonaan etätyö	4540	56750	+ Optiot, n +400e lisää kuussa nykyarvostuksella	Ei		
27/09/2022 08:55:22	Palkansaaja	36-40 v	Mies	13								Turku	Konsulttitalossa	100%	full-stack	Pääosin tai kokonaan etätyö	6500	82000		Kyllä		
27/09/2022 09:13:16	Palkansaaja	31-35 v	Mies	8								Oulu	Konsulttitalossa	100%	Senior Software Engineer	Pääosin tai kokonaan etätyö	5400	67500		Kyllä		
27/09/2022 09:17:15	Palkansaaja	31-35 v	Nainen	4								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Ohjelmistokehittäjä	Jotain siltä väliltä	3834	47925		Kyllä		
27/09/2022 09:19:10	Palkansaaja	31-35 v	mies	5								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	full-stack	Pääosin tai kokonaan etätyö	5400	67500		Ei		
27/09/2022 09:19:15	Palkansaaja	41-45 v	Mies	21								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Backend-devaaja	Pääosin tai kokonaan toimistolla	8200	210000	Peruspalkka + RSU + bonus	Kyllä		
27/09/2022 09:28:03	Palkansaaja	31-35 v	Mies	6							Elektrobit Automotive Finland Oy	Oulu	Tuotetalossa, jonka core-bisnes on softa	100%	Senior Software Engineer	Jotain siltä väliltä	4905	61312.5		Kyllä		
27/09/2022 09:51:28	Palkansaaja	36-40 v	mies	11								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	fullstack	Pääosin tai kokonaan etätyö	5850	110000	osinkoa tuloksen mukaan, n. 40k vuodessa	Kyllä		
27/09/2022 09:51:59	Palkansaaja	21-25 v	Mies	2								Tampere	Tuotetalossa, jonka core-bisnes on softa	100%	Projektipäällikkö	Pääosin tai kokonaan toimistolla	3000	39500		Kyllä		Mahdollisesti kysymys siitä kuinka tietoinen "haastateltava" on oman alansa palkkatilanteesta. Tätä kautta saisi tietoa siitä miten ajantasalla vastaajat ovat, ja pitääkö oma käsitys palkkatasosta paikkansa kyselyn tulosten perusteella. 
27/09/2022 09:58:30	Palkansaaja	31-35 v	Nainen	9								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Ohjelmistokehittäjä (full-stack)	Pääosin tai kokonaan etätyö	4800	0		Ei		
27/09/2022 10:01:08	Palkansaaja	26-30 v	Nainen	7								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	5500	69000		Kyllä		
27/09/2022 10:04:27	Palkansaaja	31-35 v	Mies	11								Oulu	Konsulttitalossa	80%	full-stack	Jotain siltä väliltä	4500	55000		Kyllä		
27/09/2022 10:11:54	Palkansaaja	26-30 v	Mies	8								PK-Seutu (Helsinki, Espoo, Vantaa)	Julkinen tai kolmas sektori	100%	Full-stack-kehittäjä	Jotain siltä väliltä	4600	57500		Kyllä		
27/09/2022 10:24:25	Palkansaaja	41-45 v	Mies	13								Oulu	Konsulttitalossa	100%	Frontend-kehittäjä, scrum master	Pääosin tai kokonaan etätyö	4800	60000		Kyllä		
27/09/2022 10:25:51	Palkansaaja	36-40 v	Mies	14								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	full stack -kehittäjä	Pääosin tai kokonaan etätyö	5300	63600		Ei		
27/09/2022 10:40:59	Palkansaaja	26-30 v	Mies	6								Tampere	Konsulttitalossa	100%	Full-stack ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	5100	63750		Kyllä		
27/09/2022 11:04:02	Palkansaaja	31-35 v	Mies	9								Turku	Konsulttitalossa	100%	Senior software developer	Pääosin tai kokonaan etätyö	5400	67500	Peruspalkka 4800e jonka päälle pieni provisio laskutuksesta	Ei		
27/09/2022 11:07:14	Palkansaaja	26-30 v	nainen	3								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	backend ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	4410	55125		Kyllä		
27/09/2022 11:08:59	Palkansaaja	36-40 v	Nainen	2								Tampere	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Frontend koodari	Jotain siltä väliltä	2600	32500	Bonusta saa jos täysiaikaisena ja työskennellyt tietyn aikaa ja firma tehnyt tulosta	Ei		
27/09/2022 11:09:51	Palkansaaja	31-35 v	Nainen	5								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	80%	Ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	4200	52500		Ei		
27/09/2022 11:11:53	Palkansaaja	31-35 v	Nainen	6								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Full-stack	Jotain siltä väliltä	4800	60200		Kyllä		
27/09/2022 11:23:14	Palkansaaja	31-35 v	mies	2								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	backend	Pääosin tai kokonaan etätyö	4100	51000		Kyllä		
27/09/2022 11:24:50	Palkansaaja	31-35 v	Nainen	9								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%		Pääosin tai kokonaan etätyö	4581	57200		Kyllä		
27/09/2022 11:25:30	Palkansaaja	36-40 v	Nainen	14							Vincit	Tampere	Konsulttitalossa	100%	ohjelmistokehittäjä ja designer	Saa tehdä työt miten haluaa, vaikka kokonaan etänä, mutta itse pidän toimistolla työskentelemisestä joten olen siellä	4700	70000	peruspalkka + compdev bonus + yksikön tulokseen pohjautuva bonus + onsite bonus	Kyllä		
27/09/2022 11:29:19	Palkansaaja	26-30 v	nainen	5								Turku	Tuotetalossa, jonka core-bisnes on softa	100%	full-stack	Jotain siltä väliltä	4300	53750		Kyllä		
27/09/2022 11:38:36	Palkansaaja	36-40 v	Mies	16								Turku	Tuotetalossa, jonka core-bisnes on softa	100%	CTO	Pääosin tai kokonaan etätyö	4000	50000	Maksutta saatu omistusosuus startupista 4v vestingillä	Ei		
27/09/2022 11:38:44	Palkansaaja	31-35 v	Nainen	8								Tampere	Konsulttitalossa	100%	Ohjelmistokehittäjä, enimmäkseen backend	Jotain siltä väliltä	4640.71	58008.87		Kyllä		
27/09/2022 11:51:18	Palkansaaja	31-35 v		7							Gofore	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Cloud	Pääosin tai kokonaan etätyö	5200	65000		Kyllä		
27/09/2022 11:52:24	Palkansaaja	31-35 v	M	15								Tampere	Konsulttitalossa	100%	Backend developer	Pääosin tai kokonaan etätyö	5200	70000		Kyllä		
27/09/2022 11:53:12	Palkansaaja	36-40 v	Mies	9								Turku	Konsulttitalossa	100%	Full-stack-kehittäjä	Jotain siltä väliltä	4750	60000		Ei		
27/09/2022 11:53:44	Laskuttaja	36-40 v	Mies	12	12	DevOps, Cloud, Fullstack	90	145000	Käytän välitysfirmoja	Suomesta												
27/09/2022 11:54:16	Palkansaaja	31-35 v	M	9								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	6100	100000		Kyllä		
27/09/2022 11:58:56	Palkansaaja	31-35 v	mies	3								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	full-stack	Jotain siltä väliltä	3600	45000		Ei		
27/09/2022 12:01:02	Palkansaaja	46-50 v	Mies	25								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Senior Devops Engineer	Pääosin tai kokonaan etätyö	6500	98000	Kiinteä kuukausi palkka ja laskutuksesta ylijäämä maksetaan bonuksia 	Kyllä		
27/09/2022 12:04:07	Palkansaaja	36-40 v	Mies	10								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Full-stack ohjelmistokehittäjä	Jotain siltä väliltä	4874	60925		Kyllä		
27/09/2022 12:05:07	Palkansaaja	41-45 v	M	22								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Ohjelmoija	Pääosin tai kokonaan toimistolla	4500	56250	Optioita	Ei		
27/09/2022 12:06:32	Palkansaaja	26-30 v	Mies	1									Tuotetalossa, jonka core-bisnes on softa	100%	Full stack (ainut työntekijä)	Pääosin tai kokonaan etätyö	2200	26400	Ei muuta	Ei	Roolina rakentaa yksin sovellus tyhjästä (pienellä palkalla :D)	
27/09/2022 12:08:20	Palkansaaja	41-45 v	Mies	17							AtoZ Oy	Tampere	Konsulttitalossa	100%	Ohjelmistotestaaja	Pääosin tai kokonaan toimistolla	4239.17	60757.96	Pohjapalkka + laskutusbonus	Kyllä		
27/09/2022 12:13:56	Palkansaaja	36-40 v		17								Hajautettu	Konsulttitalossa	100%		Pääosin tai kokonaan etätyö	7800	93600		Ei		
27/09/2022 12:14:40	Palkansaaja	41-45 v	Mies	1								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Frontend-painotteinen FullStack software dev	Pääosin tai kokonaan toimistolla	3200	40000		Ei		
27/09/2022 12:17:22	Palkansaaja	36-40 v	Mies	12								Oulu	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	full-stack	Jotain siltä väliltä	5100	63750	Optiot ja bonukset käytössä mutta realisoituminen sitte toinen asia.	Ei		
27/09/2022 12:19:23	Palkansaaja	46-50 v	mies	20							Gofore Oyj	Tampere	Konsulttitalossa	100%	Developer	Jotain siltä väliltä	5100	63750		Kyllä		
27/09/2022 12:19:47	Palkansaaja	36-40 v	Mies	15								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Senioridevaaja	Pääosin tai kokonaan etätyö	6300	76000		Kyllä		
27/09/2022 12:23:49	Palkansaaja	36-40 v	Mies	16								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	7300	103750		Kyllä		
27/09/2022 12:33:53	Palkansaaja	26-30 v	Mies	4								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	DevOps	Pääosin tai kokonaan etätyö	4150	52000		Ei		
27/09/2022 12:34:36	Palkansaaja	31-35 v	Nainen	12								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Ohjelmistokehitys	Jotain siltä väliltä	7700			Kyllä	Palkka perustuu asiakaslaskutukseen ja vaihtelee tehtyjen tuntien mukaan 	
27/09/2022 12:38:33	Palkansaaja	26-30 v	Nainen	2								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	UX-suunnittelija	Pääosin tai kokonaan etätyö	3200	40000		Ei		
27/09/2022 12:40:06	Palkansaaja	36-40 v	ukko	20								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Yrittäjä	Pääosin tai kokonaan toimistolla	2000	25000	Tuote alkuvaiheessa, riski iso, mutta myös osuus firmasta	Ei	startuppaajaa tää kysely ei kyl mallintanut hyvin, vaikka palkansaajaa ja friikkua kyllä	
27/09/2022 12:43:12	Palkansaaja	31-35 v	Mies	5								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	FullStack Azure Developer	Pääosin tai kokonaan etätyö	4000	48200		Kyllä		
27/09/2022 12:48:46	Palkansaaja	36-40 v		5								PK-Seutu (Helsinki, Espoo, Vantaa)	Julkinen tai kolmas sektori	100%	ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	5280	66000		Kyllä		
27/09/2022 12:49:03	Palkansaaja	31-35 v	Mies	17								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	full-stack	Jotain siltä väliltä	6900	90000	Optiot	Kyllä		
27/09/2022 12:49:41	Laskuttaja	21-25 v	Mies	5	2	Full stack		80000	Itse	Ulkomailta												
27/09/2022 13:12:33	Laskuttaja	36-40 v	Mies	14	3	full stack	100	125000	Itse, Käytän välitysfirmoja	Suomesta												
27/09/2022 13:17:21	Palkansaaja	41-45 v	Mies	13								Joensuu	Konsulttitalossa	80%	backend	Pääosin tai kokonaan etätyö	5000	62500				
27/09/2022 13:17:28	Palkansaaja	36-40 v	Mies	15							Futurice	Tampere	Konsulttitalossa	100%	ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	5700	73000		Kyllä		
27/09/2022 13:19:26	Palkansaaja	36-40 v	Mies	14								Vaasa	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Technical lead	Pääosin tai kokonaan toimistolla	4990	62375		Ei		
27/09/2022 13:23:09	Palkansaaja	31-35 v	Mies	7							Vincit	Tampere	Konsulttitalossa	100%	Ohjelmistokehittäjä (enimmäkseen Frontend)	Jotain siltä väliltä	4900	61000	Peruspalkka 4000 e/kk + osuus laskutuksesta "bonuksena"	Kyllä		
